"","MEgreen","MEpink","MEred","MEblue","MEpurple","MEbrown","MEyellow","MEgreenyellow","MEblack","MEturquoise","MEmagenta","MEtan","MEgrey","hypoxia"
"W230",0.00337700220376272,-0.00191382773433285,-0.124730980676685,-0.0567856309422075,-0.0894887576285336,-0.138520027769282,-0.132441322506649,0.130876789563088,0.110608809118052,0.155273948940443,-0.100186480391435,0.0715783904434128,-0.0137634132605178,"1N"
"W193",-0.063078027365118,-0.0880438383106262,-0.202838785845485,-0.130983717164379,-0.183738336247089,-0.103610169458505,-0.0795534190595815,-0.0403960746461414,0.0493923236766592,0.142005344024527,0.071187852065648,-0.104726735754705,0.0239326710501637,"1N"
"W194",-0.0647585534518182,-0.268856266179448,-0.110827761295626,0.249879294825939,0.165812486893909,0.0676537815666018,0.236651522042348,-0.0648870893646403,0.00400767012478584,-0.241082303326406,-0.186107379698106,-0.173266965971311,-0.117649526270572,"1N"
"W198",-0.0508422231917456,-0.0103934065112746,-0.067933604326695,0.0101557249950733,-0.0679302314151473,-0.237169692407413,-0.10322721463118,0.135404282831334,0.168566732505548,0.0840498232660686,0.110224359926382,0.015447131248276,-0.105988106109807,"1N"
"W196",-0.172897552550764,-0.117520159129174,-0.160171987315039,0.00129183570099462,-0.147508149006168,-0.241776140710963,-0.0539562390274874,0.187169092937461,0.247577338401025,0.101888666329486,0.211853608080893,-0.017912638849927,-0.135767991858016,"1N"
"W231",0.0729127636100544,-0.0884822032613189,-0.19409595345504,-0.0334692202761361,-0.0209960156553802,-0.192769689591164,0.0443478483667039,0.222128340268126,0.0867639485489416,0.0866618479127659,-0.153278864093082,-0.0716217336241648,-0.013959801803437,"1N"
"W126",-0.421673765582194,-0.233041313676508,-0.278804350430499,-0.168441709980918,-0.425598885227615,-0.0425185808981043,-0.133636589070124,-0.058196373668019,0.21030939498099,0.198377541767543,0.24143436376069,0.0101262466294367,-0.0368853927633321,"2H"
"W150",-0.0261761471764397,0.188762651066349,0.247106009512066,-0.121101976162791,0.00725479316819223,0.168998144928305,0.017022807845247,-0.182631138412226,-0.125072190636061,-0.0227117107730988,-0.119041738895171,-0.0037585263796688,0.146963054465871,"2H"
"W154",0.13627419635456,0.282984334673685,0.227718211544054,-0.0900324959527759,0.0691344528274115,-0.0703070767996058,-0.000223013948425562,0.141822218660413,-0.0767708613717187,-0.0140686991910384,0.109532210222327,0.33816508178627,0.0565025175893743,"2H"
"W155",0.0304333809243104,0.317207374301766,0.394829435921267,-0.157640577001662,0.038669778254288,0.350009222831071,0.132998869893374,-0.161646751076635,-0.292951071880789,-0.155198553399052,0.0578697651360516,0.0550973819830924,0.252324137314587,"2H"
"W174",-0.0760846212385378,0.0202863220645287,-0.0629667188432603,-0.126555543409825,-0.172192686730751,-0.0128417719824941,-0.17900999793358,-0.261665856575856,0.0818026096396492,0.174421457057806,0.225823824082504,0.0975681175740011,-0.0133591143180071,"1N"
"W175",0.0309628149795562,0.0910443946240501,0.128682134294973,0.326858455834741,0.204188534882864,0.0138293966040282,-0.147361588263907,-0.266257487049478,0.142299584386262,-0.00695105219219742,-0.000252851923706406,-0.0937562511775827,-0.275858089088715,"1N"
"W183",0.0993410919983357,0.0741028939801052,0.0195817756920028,-0.107398568602705,-0.020100640312358,-0.0349223759198338,0.00681343236144206,-0.00784798257823284,-0.0519733029938167,0.0682599712644054,0.0938273234654898,0.00119742709678375,0.0846367945886251,"2H"
"W205",0.0833315814659976,0.0240737089861059,0.0572930208693728,-0.0102188024787835,0.0626911070914871,0.0539527909448437,0.123522554155084,0.109682961618522,-0.12987961974822,-0.06747187489478,-0.148560308311567,-0.0709941295924224,0.14615182606707,"1N"
"W206",-0.0785928502215978,-0.130154907147406,0.0508301757059767,0.378437228534706,0.260687636286523,0.197907345865919,0.127142751042827,-0.198911274701788,0.108911116238246,-0.261249140120022,-0.162401276200698,-0.0575456292398097,-0.220592875513245,"2H"
"W218",0.100770559466049,0.0750653738500586,-0.0206556343941966,-0.0296958569882892,-0.0277893956435576,-0.125597601990244,-0.117195708504025,0.213741245260049,0.0547940583322064,0.128197428282322,-0.135827581516843,-0.0780955058089627,-0.00865810322590857,"1N"
"W219",-0.0722070298107222,-0.0468693381578567,-0.115979303575205,0.0215111663238601,-0.092656060129285,-0.0944232247292827,-0.193956460951351,-0.0196038366228488,0.144979793541437,0.139460096636912,-0.0090768850694866,0.300558383885672,-0.0693245390063128,"1N"
"W128",0.136641539905621,0.121130596279704,0.0134830549257615,-0.113414303556227,-0.0439266999498095,-0.0456501274727962,-0.152219018198953,-0.0945401661182896,-0.0171537982531664,0.149809868971975,0.136843137371448,0.217657633595408,0.0534389165707297,"2H"
"W153",0.175885745542225,0.386289864697298,0.332673933507529,-0.0961296008073284,0.142178241020327,-0.0206846310271898,0.0164371795871155,0.0416156421950922,-0.112978780067997,0.00451823520514884,0.0486059862649913,-0.0377002659512026,0.065318073791951,"2H"
"W172",0.0417155875962416,0.0578978021916814,-0.0358793334402183,0.0376400684233866,-0.0168421729811124,-0.0506976909331488,-0.163965183755964,-0.223475282373529,0.0892169733115637,0.085777598048957,0.0989991427515121,0.0748905383402946,-0.116904692943238,"1N"
"W182",0.193808939633576,0.186960416705489,0.0961774163887617,0.00876712088987046,0.0742458843586289,-0.101174993216257,-0.178564564375279,0.160444018618095,0.0332492976797525,0.0770945951745396,0.148793159632437,0.0708284183209956,-0.0857039374261552,"2H"
"W189",-0.019175890818246,-0.0484764933670323,0.173736809289302,0.22703959336781,0.200701156598746,0.266339919496907,0.127332377187523,-0.275264292060245,-0.160362393850854,-0.330131487821617,-0.246329574379991,-0.203052155955695,-0.0703313925461838,"1N"
"W202",0.109611072369109,0.0604508830985311,-0.0480582163850604,-0.0849663859093894,-0.0192699864239951,-0.066741393227918,-0.0443359004913913,0.064545371425569,-0.0269818770221535,0.123984698117589,-0.0435803114622743,-0.0632455307724085,0.0863415487931612,"1N"
"W210",0.174561660060512,0.0294347270122725,-0.123086199807907,0.028085999501121,0.0183081833857648,-0.0845443008855323,-0.131616028949329,0.19724398892807,-0.0268902508335765,0.118152820779956,-0.23519905879799,-0.144505045040262,-0.0232239245075322,"1N"
"W223",-0.0738624646115134,-0.164614316586581,0.118946445323779,-0.191328186559103,-0.0854314662031501,0.600925799143687,0.28045628565027,-0.197010358362533,-0.38112340298633,-0.217625733254286,0.0096272768392005,-0.0581014853034928,0.423153516782259,"2H"
"W228",-0.0436541369700434,-0.193087132665225,0.00612662260318251,0.216279094935683,0.180692846743711,0.0777049213979442,0.235770391460085,0.0378800267549064,-0.0467670129999649,-0.240055147454021,-0.19954794765462,-0.128493521379258,-0.0173622475607737,"2H"
"W233",-0.335807428536187,-0.161947926136644,-0.244697354054365,-0.0794351921211687,-0.299758598796572,-0.0206994868286582,-0.183825722086061,-0.178147979848526,0.196854094013889,0.159976140581251,0.219489221813458,0.392136536970596,-0.0694238922407287,"2H"
"W235",0.1264112277808,-0.0231854712189203,-0.0704300781220736,0.110718769746238,0.0939700577736338,-0.0364759758131527,0.0636023566633353,-0.0291555932319997,0.0102634686768942,-0.00336662608141193,-0.113741522180974,-0.15807441280491,-0.0136399869213099,"2H"
"W127",0.177219157267428,0.0613612278629794,0.0471518457014354,-0.146937291361075,0.0274371234301944,0.0738289570929993,0.0742248111228627,-0.143395060760532,-0.144447198606201,0.0508070514784237,0.0572174654813739,-0.0499530365279473,0.189851463975107,"2H"
"W149",0.0228440495714739,0.0796053001199715,0.24078783553744,-0.198264075123705,0.0769969634329324,0.174784690567153,0.312685429578073,0.146956195944277,-0.28617817574876,-0.208873871527735,-0.0940721281684443,-0.101231299920881,0.286562986042728,"2H"
"W152",-0.56353562700823,-0.200441034808754,-0.252730403613156,-0.0833350383600859,-0.452416871597764,-0.0442427423643874,-0.223883228359319,-0.214842065952169,0.296904342621136,0.15991092607419,0.44283025183222,0.480666163602107,-0.155622899479317,"2H"
"W173",0.046943536000575,-0.0712301359702261,-0.0708711276261239,0.480470036638485,0.312886676841936,-0.118424445908739,-0.120938369081514,0.0871189425242117,0.356174765472266,-0.0099151537504861,-0.0139391299682457,-0.0969020051856046,-0.5304514463067,"1N"
"W179",0.075738926407766,0.211484017157503,0.142591795287493,-0.0738888177935502,-0.00796151621567068,-0.0803078396567868,-0.199454891184481,0.0439179186204679,0.071507695918881,0.111328998022034,0.22616667334911,0.173208524212888,-0.0727222657142256,"1N"
"W180",-0.113456345689512,-0.27397288519741,-0.0434107235179325,0.183451698668978,0.125748525251509,0.0182589892362839,0.294215870888367,-0.0285936896951179,-0.0539512633416399,-0.307089995606793,-0.10075726028115,-0.186260644539681,-0.0540437157020462,"1N"
"W184",0.173663567057449,0.211129356382164,0.106108461283746,-0.0868882917985831,0.027045691432993,-0.0508641062054115,-0.140596025655806,0.103626721670903,-0.0251916212707986,0.127540381797928,0.0849807297151534,-0.0302167062184843,0.0200755653268339,"2H"
"W188",-0.119222963754258,-0.230094064697793,0.00846002279526972,0.117829694151406,0.0956988447463331,0.0532312967037836,0.288249232684475,-0.0161844057726747,-0.138630364843275,-0.34672654252466,-0.233590795921639,-0.178587676432432,0.0307718256401741,"1N"
"W209",0.123757485901941,-0.0647318791975321,-0.151434675620979,-0.0470981470933066,0.0135002166769184,-0.145971933639881,0.0918084183704381,0.350581462082627,-0.0514053604904842,0.0535044535698322,-0.162247404182108,0.0198037630830866,0.0461654497947312,"1N"
"W224",0.108234187612933,0.0522389906445484,0.156181024987103,-0.00485020181113152,0.106092297944145,0.110107595948075,0.166342232702731,0.0159600236054674,-0.238707815590433,-0.180783559307365,-0.155863984865037,-0.171086482316686,0.148221899143521,"2H"
"W229",0.0199243143047551,-0.0862750144210708,-0.0913410939165264,-0.1079780522258,-0.0869596999294412,0.0688571409789972,0.0843371431851198,0.0792706257459442,-0.110072269871006,0.0168670475390588,0.0304636832365304,-0.053718335092047,0.156510974044311,"2H"
"W234",0.0306612399618975,-0.0281786213236553,-0.0975217449084426,-0.0515780990573664,-0.0433753289490474,-0.135453973869849,-0.0440010287530108,0.192666889616855,0.0333046152190605,0.0954325103818106,-0.0121675510648533,0.0138769810672231,0.00431413358488232,"2H"
